id	split	content_class	path	width	height	format	bytes_manifest	bytes_actual	sha256	raw_url	png_v3_sdr_url
1000	train	1000-lilith-photos-general	1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.jpg	4032	3024	jpg	2609679	2604013	625e89f4965cc16d038c37c04687c94035c8bd8ea236aebc82b2b960cd8cac8a	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.sdr.png
1002	train	1000-lilith-photos-general	1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.jpg	4000	3000	jpg	3079235	3014622	937a789e05dc059d1337fae9294db8a4ecf4067c73c0b3b626f61ecc59137f30	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.sdr.png
1004	train	1000-lilith-photos-general	1000-lilith-photos-general/1004_general_paint-color-samples_s21u_iso200-f1p8_20220304-144007_4000x3000.jpg	4000	3000	jpg	3081607	3029618	02fe35a72b46c834440db554301a59c91347d4aec843c6ac14495f2973a8b8e1	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1004_general_paint-color-samples_s21u_iso200-f1p8_20220304-144007_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1004_general_paint-color-samples_s21u_iso200-f1p8_20220304-144007_4000x3000.sdr.png
1006	train	1000-lilith-photos-general	1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_4000x3000.jpg	4000	3000	jpg	3446241	3380351	78a1c6a80bab29ab5be1c1e756b00e7fad1d70dcd5ecbbcfdd293da6a91fef01	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_4000x3000.sdr.png
1008	train	1000-lilith-photos-general	1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_4000x3000.jpg	4000	3000	jpg	3670083	3612160	46d9454f996cdf5871a3ceab6313863cbd97be8d7d90c848d3bf07de11f61db4	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_4000x3000.sdr.png
1010	train	1000-lilith-photos-general	1000-lilith-photos-general/1010_general_floating-dock-on-lake_hakone-ekiden-museum-hakone_s23u_iso80-f4p9_20230707-172043_4000x3000.jpg	4000	3000	jpg	4712314	4650353	77d7b18fa221bff5786b8e3154bb915613d79a937db753f52ca52ab61daef6e8	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1010_general_floating-dock-on-lake_hakone-ekiden-museum-hakone_s23u_iso80-f4p9_20230707-172043_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1010_general_floating-dock-on-lake_hakone-ekiden-museum-hakone_s23u_iso80-f4p9_20230707-172043_4000x3000.sdr.png
1012	train	1000-lilith-photos-general	1000-lilith-photos-general/1012_general_spiky-crystal-display_seattle-center-seattle_s23u_iso1000-f1p7_20230727-173012_2190x3131.jpg	2190	3131	jpg	987546	984227	fd7ec2c72cfb66b2f0ee0ed3fe149a9bb1a0ce40b015fc98fd5602b692f3301c	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1012_general_spiky-crystal-display_seattle-center-seattle_s23u_iso1000-f1p7_20230727-173012_2190x3131.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1012_general_spiky-crystal-display_seattle-center-seattle_s23u_iso1000-f1p7_20230727-173012_2190x3131.sdr.png
1014	train	1000-lilith-photos-general	1000-lilith-photos-general/1014_general_colorful-glass-spheres_seattle-center-seattle_s23u_iso500-f1p7_20230727-173515_4000x3000.jpg	4000	3000	jpg	3633061	3579223	9174399c467494ee8d455744fc57868ba1d2f59f6516039c28d0d6cd09129804	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1014_general_colorful-glass-spheres_seattle-center-seattle_s23u_iso500-f1p7_20230727-173515_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1014_general_colorful-glass-spheres_seattle-center-seattle_s23u_iso500-f1p7_20230727-173515_4000x3000.sdr.png
1016	train	1000-lilith-photos-general	1000-lilith-photos-general/1016_general_hanging-glass-lamp_seattle-center-seattle_s23u_iso250-f1p7_20230727-173815_4000x2252.jpg	4000	2252	jpg	3424889	3394960	8555c817f079e151509f6c8c936daa9a20a119192735aecf148ecf1fc5be61cd	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1016_general_hanging-glass-lamp_seattle-center-seattle_s23u_iso250-f1p7_20230727-173815_4000x2252.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1016_general_hanging-glass-lamp_seattle-center-seattle_s23u_iso250-f1p7_20230727-173815_4000x2252.sdr.png
1018	train	1000-lilith-photos-general	1000-lilith-photos-general/1018_general_hanging-glass-sculptures_seattle-center-seattle_s23u_iso50-f2p4_20230727-174134_4000x3000.jpg	4000	3000	jpg	4536485	4472873	0ee660633a02818a2e0d300b7654cb2531cd5bea2c86117736809d7c364b7352	https://codec-corpus.r2.imazen.org/imazen-26-unprocessed/1000-lilith-photos-general/1018_general_hanging-glass-sculptures_seattle-center-seattle_s23u_iso50-f2p4_20230727-174134_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1018_general_hanging-glass-sculptures_seattle-center-seattle_s23u_iso50-f2p4_20230727-174134_4000x3000.sdr.png
