source	origin_id	cicp_primaries	reason
1069_general_illuminated-castle-night_cinderella-castle-orange_ip13pro_iso500-f1p5_img-7653_2870x3827.hdr.png	1069	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1070_general_stone-temple-ruins_ip13pro_iso50-f1p5_img-8852_4032x3024.hdr.png	1070	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1495_nature_lighthouse-on-island_york-maine_ip13pro_iso50-f1p5_fullsizerender-1_3855x2891.hdr.png	1495	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1496_nature_lake-with-boats_winthrop-maine_ip13pro_iso50-f1p5_fullsizerender-2_3411x2765.hdr.png	1496	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1497_nature_pink-flower-on-vine_belltown-seattle-washington_ip16pro_iso80-f1p8_fullsizerender-3_3745x5333.hdr.png	1497	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1498_nature_yellow-flowers-garden-bed_colorado_ip13pro_iso50-f1p5_fullsizerender_2773x3709.hdr.png	1498	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1502_nature_ice-cave-opening_hornafjordur-iceland_ip13pro_iso32-f1p8_img-0341_3024x4032.hdr.png	1502	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1503_nature_passionflower-on-vine_centrum-amsterdam-netherlands_ip16pro_iso50-f1p8_img-0354_3024x4032.hdr.png	1503	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1504_nature_cloudy-sky-over-field_colorado_ip13pro_iso50-f1p5_img-0374_4032x3024.hdr.png	1504	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1507_nature_ice-cave-waterfall_hornafjordur-iceland_ip13pro_iso200-f1p5_img-0468_3024x4032.hdr.png	1507	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1508_nature_ice-cave-interior_hornafjordur-iceland_ip13pro_iso1000-f1p8_img-0474_4032x3024.hdr.png	1508	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1509_nature_ice-cave-opening_hornafjordur-iceland_ip13pro_iso1000-f1p8_img-0480_3024x4032.hdr.png	1509	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1515_nature_orange-flower-closeup_colorado_ip17pro_iso320-f1p8_img-1420_3024x4032.hdr.png	1515	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1516_nature_pink-flower-in-bottle_colorado_ip17pro_iso50-f1p8_img-1509_2355x3308.hdr.png	1516	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1529_nature_whale-tail-ocean_ip13pro_iso32-f2p8_img-5573_3024x4032.hdr.png	1529	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
